"species","latitude","longitude","source"
"Rhinolophus pusillus",31.84655,114.9075,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",31.79028,114.93096,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",31.67726,114.97855,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",32.08771,115.53773,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",31.89663,115.6122,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",27.43608,107.16528,"Dao-Hong, L. I. (2007). The Correlation of Partial Environmental Factors to Animal Community Structure in Longdong Cave and Wanjiadong Cave of Guizhou Province [J]. Chinese Journal of Zoology, 1."
"Rhinolophus pusillus",27.74128,107.47238,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",28.86291,107.61262,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.32173,107.72781,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.87578,107.80129,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",27.99886,108.40341,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",27.70298,109.1629,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",28.15439,109.20279,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.50057,109.3792,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.40431,109.48219,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",28.26244,109.69811,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.00754,109.87083,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",26.59712,110.15511,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.09578,110.49088,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",26.98389,111.2764,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",30.70052,111.3176,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",29.626,111.38969,"Zhang, P., Huang, T., Zhang, Y., & Liu, Z. (2019). The Checklist, Distribution and Conservation of Chiroptera in Wulingshan Region, China. International Journal of Ecology_2019, 8(2), 57-64"
"Rhinolophus pusillus",25.02171,113.72113,"He, X. Y. (2019). Species Resources of Chiroptera in Danxiashan National Nature Reserve, Guangdong, China. Chinese Journal of Zoology, 54(6): 810-814."
"Rhinolophus pusillus",21.38681,110.21995,"Pengle, Bats survey in Guangdong and Macau with diet composition of Cynopterus sphinx and the analysis of sugar types in its foraging fruits"
"Rhinolophus pusillus",25.27764,114.11447,"He, X., Peng, X., Chen, Z., & Zhang, L. (2018). Resources of Bats in Guangdong Xiaoliukeng-Qingzhangshan Provincial Nature Reserve. Forestry and Environmental Science, 2096-2053."
"Rhinolophus pusillus",27.36561,109.24397,"Yang, T., Huang, J., Hou X., Mei, J., & Ran, H. (2016). Diversity and Conservation of Cave-dwelling Bats in Jiangkou County, Guizhou Province[J]. Sichuan Journal of Zoology, 2016, 35(3): 475-480."
"Rhinolophus pusillus",27.41571,109.25513,"Yang, T., Huang, J., Hou X., Mei, J., & Ran, H. (2016). Diversity and Conservation of Cave-dwelling Bats in Jiangkou County, Guizhou Province[J]. Sichuan Journal of Zoology, 2016, 35(3): 475-480."
"Rhinolophus pusillus",29.43431,109.47819,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",28.24344,109.62671,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",29.05775,109.81083,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",26.51812,110.16811,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",29.01578,110.44888,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",29.628,111.31769,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",27.08132,112.95324,"Huang, T. F., Zhang, P. L.,Wu, Tao. (2018). A Checklist and Distribution of Chiroptera in Hunan Province, China[J]. Life Science Research, 22(3): 215-221."
"Rhinolophus pusillus",33.30699,111.47372,"Wang, Y. (2016) Taxonomic and phylogenetic status of rhinolophus bats based on Cyt b gene sequence. Journal of Henan Normal University(Natural Science Edition). 44 (2)."
"Rhinolophus pusillus",24.577,114.4407,"Ye, F., & Zhang, C. (2017). Diversity and conservation of cave-dwelling bats in Jiulianshan Nature Reserve, Jiangxi Province. South China Forestry Science, 45 (2)."
"Rhinolophus pusillus",28.06388,83.87898,"Baniya, S. et al. (2018). hibernation monitoring case study in bat cave and mahendra cave. Ruffprd Small Grant Foundation Project."
"Rhinolophus pusillus",28.08734,83.91583,"Baniya, S. et al. (2018). hibernation monitoring case study in bat cave and mahendra cave. Ruffprd Small Grant Foundation Project."
"Rhinolophus pusillus",28.08667,83.9162,"Baniya, S. et al. (2018). hibernation monitoring case study in bat cave and mahendra cave. Ruffprd Small Grant Foundation Project."
"Rhinolophus pusillus",28.26736,83.97603,"Baniya, S. et al. (2018). hibernation monitoring case study in bat cave and mahendra cave. Ruffprd Small Grant Foundation Project."
